index,lifehist,ModeReproduction,Symbionts,family_molecules,genus,spp_phylo,species_name,Location_name,ABSLatitude,volume,lg.eggsize,sstmean,sstvarall,chlamean
31,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_australiensis,Porites australiensis,Lizard-Island,14.686824,1767145.87,14.3848763,26.4547,3.842254668,0.2906735
32,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_australiensis,Porites australiensis,Pioneer-Bay_Orpheus-Island,18.609756,7700109.057,15.85674505,26.12825,6.534270913,1.118393
33,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_cylindrica,Porites cylindrica,Heron-Island,23.43735,4878400.658,15.40032799,24.39077,4.426336301,0.4277969
34,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_cylindrica,Porites cylindrica,Pioneer-Bay_Orpheus-Island,18.609756,8181230.867,15.91735317,26.12825,6.534270913,1.118393
35,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_evermanni,Porites evermanni,Kaneohe-Bay_Hawaii,21.464084,1231837.851,14.0240178,25.41004,1.915151532,0.7905351
36,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_harrisoni,Porites harrisoni,Arabian-Gulf,24.97172,588977.4107,13.28614311,27.97327,22.4233218,1.9451716
37,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_lobata,Porites lobata,Caño-CostaRica,8.721564,2482712.698,14.72486235,28.80804,1.154477185,0.4828951
38,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_lobata,Porites lobata,Galapagos-Equatorial-Eastern-Pacific,0.769806,69455.90085,11.14844731,23.70007,4.37962349,0.458283
39,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_lobata,Porites lobata,Uva-Panama,7.814366,1317089.677,14.09093507,28.64488,0.931473215,0.4044403
40,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_lobata,Porites lobata,Yenliao-Bay_Taiwan,25.060262,4711819.325,15.36558466,23.66956,11.36513777,0.6458806
41,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_lutea,Porites lutea,Eilat_Israel,29.509704,2144660.58,14.57849186,24.18318,5.098983997,0.1745565
42,GVT,Gonochore,Yes,Poritidae,Porites,POR_Porites_lutea,Porites lutea,Lizard-Island,14.686824,3053628.061,14.93184097,26.4547,3.842254668,0.2906735
43,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_abrotanoides,Acropora abrotanoides,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,151217830.3,18.83423194,26.69642,3.871768518,0.3044986
44,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_austera,Acropora austera,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,84759449.79,18.2553278,26.69642,3.871768518,0.3044986
45,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_cerealis,Acropora cerealis,Ningaloo-Reef-Australia,23.17,109738231,18.51360837,24.54691,3.538341578,0.4856855
46,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_cerealis,Acropora cerealis,Taiwan,23.099174,147812151.7,18.81145278,26.60095,3.337059405,0.3223763
47,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_cytherea,Acropora cytherea,Dampier_Australia,20.4645,44602238.22,17.6132946,26.59857,6.735223943,0.896987
48,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_cytherea,Acropora cytherea,MombasaMNP-Kenya,4.026741,90970633.17,18.3260473,27.07738,1.469125806,0.2810418
49,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_cytherea,Acropora cytherea,Pioneer-Bay_Orpheus-Island,18.609756,113097335.3,18.54375938,26.12825,6.534270913,1.118393
50,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_cytherea,Acropora cytherea,ScottReef-W-Australia,14.001409,268082573.2,19.4068056,28.78224,2.197272582,0.2765393
51,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_cytherea,Acropora cytherea,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,60104561.19,17.91159629,26.69642,3.871768518,0.3044986
52,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_digitifera,Acropora digitifera,Heron-Island,23.43735,72148790.55,18.09424108,24.39077,4.426336301,0.4277969
53,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_digitifera,Acropora digitifera,MombasaMNP-Kenya,4.026741,56115062.6,17.84291483,27.07738,1.469125806,0.2810418
54,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_digitifera,Acropora digitifera,Ningaloo-Reef-Australia,23.17,104825325.9,18.46780596,24.54691,3.538341578,0.4856855
55,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_digitifera,Acropora digitifera,ScottReef-W-Australia,14.001409,179594379.7,19.00621142,28.78224,2.197272582,0.2765393
56,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_divaricata,Acropora divaricata,MombasaMNP-Kenya,4.026741,35300580.62,17.37940997,27.07738,1.469125806,0.2810418
57,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_divaricata,Acropora divaricata,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,125999776.4,18.65179069,26.69642,3.871768518,0.3044986
58,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_downingi,Acropora downingi,Arabian-Gulf,24.97172,134700736.6,18.71856611,27.97327,22.4233218,1.9451716
59,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_eurystoma,Acropora eurystoma,Eilat_Israel,29.509704,38792386.07,17.47373455,24.18318,5.098983997,0.1745565
60,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_florida,Acropora florida,ScottReef-W-Australia,14.001409,220893234.3,19.21319004,28.78224,2.197272582,0.2765393
61,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_gemmifera,Acropora gemmifera,ScottReef-W-Australia,14.001409,145925776.5,18.79860867,28.78224,2.197272582,0.2765393
62,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_glauca,Acropora glauca,MombasaMNP-Kenya,4.026741,37967044.07,17.45222908,27.07738,1.469125806,0.2810418
63,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_glauca,Acropora glauca,Solitary-Islands_Australia,29.924725,209676268.4,19.16107532,22.32569,4.45862651,0.7583831
64,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hemprichi,Acropora hemprichi,Eilat_Israel,29.509704,32269327.05,17.28962771,24.18318,5.098983997,0.1745565
65,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_humilis,Acropora humilis,Eilat_Israel,29.509704,32269327.05,17.28962771,24.18318,5.098983997,0.1745565
66,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_humilis,Acropora humilis,Hawaii,19.745646,190586992.1,19.0656193,25.3296,2.100067604,0.2631996
67,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_humilis,Acropora humilis,Matautu-Apia-Samoa,13.819978,103753866.1,18.45753198,28.83265,0.637835753,0.1303333
68,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_humilis,Acropora humilis,MombasaMNP-Kenya,4.026741,48031732.3,17.68737244,27.07738,1.469125806,0.2810418
